"","session.x","iso3c.y","IdealPointDistance"
"1",40,"USA",2.82555186
"2",40,"VEN",0.18257684
"3",40,"PRY",0.60439166
"4",40,"ARG",0.09565026
"5",40,"URY",0.05578753
"6",40,"RUS",1.51238814
"7",40,"CHN",0.13392906
"8",40,"IND",0.55985884
"9",41,"USA",2.95570021
"10",41,"VEN",0.05437426
"11",41,"PRY",0.43661691
"12",41,"ARG",0.22021149
"13",41,"URY",0.16872431
"14",41,"RUS",0.92106289
"15",41,"CHN",0.13264461
"16",41,"IND",0.82868279
"17",42,"USA",3.1160968
"18",42,"VEN",0.00594765
"19",42,"PRY",0.2295244
"20",42,"ARG",0.1623439
"21",42,"URY",0.3087411
"22",42,"RUS",0.8899508
"23",42,"CHN",0.2219241
"24",42,"IND",0.6573368
"25",43,"USA",3.2168976
"26",43,"VEN",0.12585209
"27",43,"PRY",0.3977801
"28",43,"ARG",0.0727169
"29",43,"URY",0.2872809
"30",43,"RUS",0.6281968
"31",43,"CHN",0.11720494
"32",43,"IND",0.3945134
"33",44,"USA",3.3338448
"34",44,"VEN",0.0223255
"35",44,"PRY",0.3849592
"36",44,"ARG",0.0667863
"37",44,"URY",0.3376783
"38",44,"RUS",0.4907232
"39",44,"CHN",0.10431707
"40",44,"IND",0.6111545
"41",45,"USA",3.5673997
"42",45,"VEN",0.1394358
"43",45,"PRY",0.2624342
"44",45,"ARG",0.0176553
"45",45,"URY",0.48403717
"46",45,"RUS",0.3312408
"47",45,"CHN",0.3380319
"48",45,"IND",0.3750315
"49",46,"USA",3.4490213
"50",46,"VEN",0.0569141
"51",46,"PRY",0.40672437
"52",46,"ARG",1.3273825
"53",46,"URY",0.883036
"54",46,"RUS",1.1642389
"55",46,"CHN",0.1805488
"56",46,"IND",0.2862948
"57",47,"USA",3.4285564
"58",47,"VEN",0.10713
"59",47,"PRY",0.49849298
"60",47,"ARG",1.2492138
"61",47,"URY",0.778225
"62",47,"RUS",1.5452444
"63",47,"CHN",0.2978013
"64",47,"IND",0.3658919
"65",48,"USA",3.1938504
"66",48,"VEN",0.056487
"67",48,"PRY",0.5190736
"68",48,"ARG",1.0880475
"69",48,"URY",0.4789346
"70",48,"RUS",1.5580694
"71",48,"CHN",1.1857426
"72",48,"IND",0.9056046
"73",49,"USA",3.2550958
"74",49,"VEN",0.2941768
"75",49,"PRY",0.25740241
"76",49,"ARG",1.1771302
"77",49,"URY",0.35139
"78",49,"RUS",1.3848838
"79",49,"ZAF",0.1227416
"80",49,"CHN",1.3658542
"81",49,"IND",1.1115382
"82",50,"USA",3.3187574
"83",50,"VEN",0.1198775
"84",50,"PRY",0.3595221
"85",50,"ARG",1.6633964
"86",50,"URY",0.07651543
"87",50,"RUS",1.3180514
"88",50,"ZAF",0.0641992
"89",50,"CHN",1.3671276
"90",50,"IND",1.4694436
"91",51,"USA",3.2812705
"92",51,"VEN",0.1757241
"93",51,"PRY",0.2479447
"94",51,"ARG",0.8432112
"95",51,"URY",0.1959987
"96",51,"RUS",0.9239882
"97",51,"ZAF",0.0105087
"98",51,"CHN",1.1579095
"99",51,"IND",1.5027295
"100",52,"USA",3.1472314
"101",52,"VEN",0.0869848
"102",52,"PRY",0.10830615
"103",52,"ARG",0.7302444
"104",52,"URY",0.16940402
"105",52,"RUS",0.7206351
"106",52,"ZAF",0.09835258
"107",52,"CHN",1.0145516
"108",52,"IND",1.0344216
"109",53,"USA",2.91581329
"110",53,"VEN",0.32476111
"111",53,"PRY",0.072736574
"112",53,"ARG",0.45244119
"113",53,"URY",0.00314267
"114",53,"RUS",0.59731149
"115",53,"ZAF",0.01654278
"116",53,"CHN",0.35272401
"117",53,"IND",0.65252021
"118",54,"USA",2.70806969
"119",54,"VEN",0.50715491
"120",54,"PRY",0.03186903
"121",54,"ARG",0.38633479
"122",54,"URY",0.0278205
"123",54,"RUS",0.40142719
"124",54,"ZAF",0.03141668
"125",54,"CHN",0.64793731
"126",54,"IND",0.63523381
"127",55,"USA",2.64572921
"128",55,"VEN",0.55891319
"129",55,"PRY",0.08169961
"130",55,"ARG",0.28600731
"131",55,"URY",0.01799209
"132",55,"RUS",0.17960511
"133",55,"ZAF",0.02545236
"134",55,"CHN",0.75404589
"135",55,"IND",0.68081539
"136",56,"USA",2.662488403
"137",56,"VEN",0.545563897
"138",56,"PRY",0.177185803
"139",56,"ARG",0.326367903
"140",56,"URY",0.024486303
"141",56,"RUS",0.196153703
"142",56,"ZAF",0.072538083
"143",56,"CHN",0.596928497
"144",56,"IND",0.637724097
"145",57,"USA",2.740604718
"146",57,"VEN",0.477397382
"147",57,"PRY",0.025829402
"148",57,"ARG",0.346727818
"149",57,"URY",0.051576168
"150",57,"RUS",0.265473318
"151",57,"ZAF",0.306290382
"152",57,"CHN",0.552969782
"153",57,"IND",0.143686982
"154",58,"USA",2.96589731
"155",58,"VEN",0.48602009
"156",58,"PRY",0.02274447
"157",58,"ARG",0.34660181
"158",58,"URY",0.0941723
"159",58,"RUS",0.32938231
"160",58,"ZAF",0.28574179
"161",58,"CHN",0.87699879
"162",58,"IND",0.07186759
"163",59,"USA",2.90338842
"164",59,"VEN",0.93823358
"165",59,"PRY",0.05966327
